PFPileUp::produce;35.81
TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;33.82
other;27.53
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;22.10
citk::PFIsolationSumProducerForPUPPI::produce;17.80
pat::PATMETProducer::produce;17.18
HGCalElectronIDValueMapProducer::produce;16.87
HGCalIsoCalculator::produceHGCalIso;15.70
PFCand_AssoMap::produce;15.31
InputModule;15.30
HGCalPhotonIDValueMapProducer::produce;14.92
pat::PATMuonProducer::produce;12.23
HGCalRecHitMapProducer::produce;7.23
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.17
PoolOutputModule;5.04
VirtualJetProducer::produce;4.48
BoostedJetONNXJetTagsProducer::produce;4.32
edm::EventPrincipal::clearEventPrincipal;4.31
edm::EventProcessor::beginRun;4.28
PileupJetIdProducer::produce;4.15
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;4.09
PFRecoTauChargedHadronProducer::produce;3.68
pat::PATIsolatedTrackProducer::produce;3.59
pat::PATPackedCandidateProducer::produce;3.55
RecoTauProducer::produce;3.39
edm::EventProcessor::init;3.16
ShiftedParticleProducer::produce;2.90
CandIsoDepositProducer::produce;2.51
edmplugin::SharedLibrary::SharedLibrary;2.41
DeepMETProducer::produce;2.15
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;1.90
PFTauPrimaryVertexProducerBase::produce;1.16
CandPtrProjector::produce;1.15
JetFlavourClustering::produce;0.98
deep_tau::DeepTauBase::produce;0.96
PFRecoTauTagInfoProducer::produce;0.81
pat::PATLostTracks::produce;0.74
DeepFlavourONNXJetTagsProducer::produce;0.65
QGTagger::produce;0.43
BoostedTauSeedsProducer::produce;0.39
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.29
CandIsolatorFromDeposits::produce;0.23
ShiftedParticleMETcorrInputProducer::produce;0.22
MultShiftMETcorrInputProducer::produce;0.18
DeepBoostedJetTagInfoProducer::produce;0.17
JetTracksAssociationDRVertex::produce;0.16
LowPtGSFToPackedCandidateLinker::produce;0.14
JetTagProducer::produce;0.11
PuppiProducer::produce;0.11
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.10
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.10
GenParticlePruner::produce;0.09
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.06
pat::PATElectronProducer::produce;0.06
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce;0.05
Type0PFMETcorrInputProducer::produce;0.05
MVAValueMapProducer<reco::GsfElectron>::produce;0.05
pat::PATTauProducer::produce;0.05
