PoolOutputModule,1136.28
CAHitNtupletEDProducerT<CAHitQuadrupletGenerator>::produce,462.23
cms::CkfTrackCandidateMakerBase::produceBase,458.46
ElectronSeedProducer::produce,410.93
PrimaryVertexProducer::produce,366.58
GsfTrackProducer::produce,279.10
TrackstersProducer::produce,189.59
TrackListMerger::produce,181.72
TrackProducer::produce,171.63
MuonSimClassifier::produce,126.96
MuonIdProducer::produce,99.15
PFClusterProducer::produce,96.68
PrimaryVertexSorter<std::vector<reco::RecoChargedRefCandidate,std::allocator<reco::RecoChargedRefCandidate>>>::produce,94.51
PFECALSuperClusterProducer::produce,93.26
CAHitNtupletEDProducerT<CAHitTripletGenerator>::produce,89.17
ClusterTPAssociationProducer::produce,75.35
LowPtGsfElectronSeedProducer::produce,65.14
PFDisplacedVertexCandidateProducer::produce,54.40
InputModule,52.02
PFDisplacedVertexProducer::produce,51.03
TemplatedVertexArbitrator<edm::View<reco::Candidate>,reco::VertexCompositePtrCandidate>::produce,48.66
DuplicateTrackMerger::produce,48.65
SeedCreatorFromRegionHitsEDProducerT<SeedFromConsecutiveHitsCreator>::produce,44.94
HGCalLayerClusterProducer::produce,44.36
TrackExtrapolator::produce,43.38
Impl<DoNothing,ImplIntermediateHitDoublets,RegionsLayersSeparate>::produce,41.18
hitTripletEDProducerT::Impl<PixelTripletHLTGenerator,hitTripletEDProducerT::ImplSeedingHitSets,hitTripletEDProducerT::DoNothing>::produce,39.38
PFPileUp::produce,39.16
PFElecTkProducer::produce,35.78
ConversionTrackMerger::produce,34.91
PuppiProducer::produce,34.36
JetTracksAssociationDRVertexAssigned::produce,32.26
PFBlockProducer::produce,29.91
TrackstersMergeProducer::produce,29.29
TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce,26.92
GoodSeedProducer::produce,20.39
TrackExtenderWithMTDT<std::vector<reco::Track,std::allocator<reco::Track>>>::produce,19.58
V0Producer::produce,16.01
PFProducer::produce,15.97
PFElecTkProducer::beginRun,12.63
TemplatedVertexArbitrator<std::vector<reco::Track,std::allocator<reco::Track>>,reco::Vertex>::produce,12.52
GsfElectronProducer::produce,12.11
JetPlusTrackProducer::produce,11.20
CosmicsMuonIdProducer::produce,10.84
SiPixelClusterProducer::produce,9.20
PFTrackProducer::produce,9.03
PFRecoTauChargedHadronProducer::produce,8.43
TOFPIDProducer::produce,8.22
EcalUncalibRecHitProducer::produce,7.71
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce,7.01
PFRecHitProducer::produce,6.79
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce,5.63
SeedCreatorFromRegionHitsEDProducerT<SeedFromConsecutiveHitsTripletOnlyCreator>::produce,4.28
PhotonIDValueMapProducer::produce,4.26
GsfElectronCoreEcalDrivenProducer::produce,3.99
VirtualJetProducer::produce,3.87
edm::EventPrincipal::clearEventPrincipal,3.47
CosmicMuonProducer::produce,3.34
Impl<ImplSeedingHitSets,DoNothing,RegionsLayersSeparate>::produce,3.20
MultiClustersFromTrackstersProducer::produce,3.18
FastjetJetProducer::produceTrackJets,3.08
MTDTrackQualityMVAProducer::produce,2.96
ConversionProducer::produce,2.95
edmplugin::SharedLibrary::SharedLibrary,2.93
SimPFProducer::produce,2.81
other,2.71
HGCalRawToDigiFake::produce,2.59
PFRecoTauTagInfoProducer::produce,1.87
CandIsoDepositProducer::produce,1.79
TrackTimeValueMapProducer::produce,1.50
HGCalUncalibRecHitProducer::produce,1.43
HGCalRecHitProducer::produce,1.39
ReducedRecHitCollectionProducer::produce,1.31
SiPixelClusterShapeCacheProducer::produce,1.24
SeedingLayersEDProducer::produce,1.23
