TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce,42.33
PFPileUp::produce,35.42
other,27.50
pat::PATMETProducer::produce,24.84
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce,20.12
HGCalElectronIDValueMapProducer::produce,16.69
citk::PFIsolationSumProducerForPUPPI::produce,16.40
HGCalIsoCalculator::produceHGCalIso,15.89
PFCand_AssoMap::produce,15.21
InputModule,14.61
HGCalPhotonIDValueMapProducer::produce,14.27
pat::PATIsolatedTrackProducer::produce,13.88
pat::PATMuonProducer::produce,11.51
RecoTauProducer::produce,7.52
HGCalRecHitMapProducer::produce,6.78
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce,5.68
BoostedJetONNXJetTagsProducer::produce,5.43
PoolOutputModule,5.14
VirtualJetProducer::produce,4.37
PFRecoTauChargedHadronProducer::produce,4.11
edm::EventProcessor::beginRun,4.03
PileupJetIdProducer::produce,3.82
edm::EventPrincipal::clearEventPrincipal,3.82
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce,3.21
pat::PATPackedCandidateProducer::produce,3.14
edm::EventProcessor::init,3.10
CandIsoDepositProducer::produce,2.50
edmplugin::SharedLibrary::SharedLibrary,2.50
ShiftedParticleProducer::produce,2.38
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce,2.05
DeepMETProducer::produce,1.95
PFTauPrimaryVertexProducerBase::produce,1.31
deep_tau::DeepTauBase::produce,1.18
CandPtrProjector::produce,1.03
JetFlavourClustering::produce,1.02
PFRecoTauTagInfoProducer::produce,0.87
DeepFlavourONNXJetTagsProducer::produce,0.79
BoostedTauSeedsProducer::produce,0.42
QGTagger::produce,0.33
pat::PATLostTracks::produce,0.28
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce,0.24
DeepBoostedJetTagInfoProducer::produce,0.24
ShiftedParticleMETcorrInputProducer::produce,0.23
CandIsolatorFromDeposits::produce,0.22
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2,0.21
JetTracksAssociationDRVertex::produce,0.16
PuppiProducer::produce,0.16
JetTagProducer::produce,0.13
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce,0.11
MultShiftMETcorrInputProducer::produce,0.10
GenParticlePruner::produce,0.10
LowPtGSFToPackedCandidateLinker::produce,0.10
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce,0.08
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce,0.08
JetChargeProducer::produce,0.07
RecoTauPiZeroProducer::produce,0.07
pat::PATElectronProducer::produce,0.05
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce,0.04
