TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;36.48
PFPileUp::produce;35.78
other;27.05
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;22.26
HGCalIsoCalculator::produceHGCalIso;17.52
citk::PFIsolationSumProducerForPUPPI::produce;17.36
pat::PATMETProducer::produce;17.08
HGCalElectronIDValueMapProducer::produce;16.80
InputModule;15.99
PFCand_AssoMap::produce;15.04
HGCalPhotonIDValueMapProducer::produce;14.84
pat::PATMuonProducer::produce;12.14
HGCalRecHitMapProducer::produce;6.92
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;5.13
PoolOutputModule;4.93
PileupJetIdProducer::produce;4.63
VirtualJetProducer::produce;4.37
BoostedJetONNXJetTagsProducer::produce;4.12
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;4.08
PFRecoTauChargedHadronProducer::produce;3.94
edm::EventProcessor::beginRun;3.94
edm::EventPrincipal::clearEventPrincipal;3.78
pat::PATIsolatedTrackProducer::produce;3.51
pat::PATPackedCandidateProducer::produce;3.35
RecoTauProducer::produce;3.21
edm::EventProcessor::init;3.04
ShiftedParticleProducer::produce;2.78
CandIsoDepositProducer::produce;2.55
edmplugin::SharedLibrary::SharedLibrary;2.25
DeepMETProducer::produce;2.04
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;1.92
PFTauPrimaryVertexProducerBase::produce;1.21
CandPtrProjector::produce;1.14
deep_tau::DeepTauBase::produce;1.01
JetFlavourClustering::produce;0.96
PFRecoTauTagInfoProducer::produce;0.78
DeepFlavourONNXJetTagsProducer::produce;0.74
BoostedTauSeedsProducer::produce;0.38
QGTagger::produce;0.36
ShiftedParticleMETcorrInputProducer::produce;0.33
CandIsolatorFromDeposits::produce;0.26
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.26
DeepBoostedJetTagInfoProducer::produce;0.22
MultShiftMETcorrInputProducer::produce;0.18
pat::PATLostTracks::produce;0.18
GenParticlePruner::produce;0.18
JetTracksAssociationDRVertex::produce;0.13
JetTagProducer::produce;0.12
pat::PATTauProducer::produce;0.10
PuppiProducer::produce;0.10
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.09
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.09
Type0PFMETcorrInputProducer::produce;0.06
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.06
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.05
