TauDiscriminationProducerBase<reco::PFTau,edm::ValueMap<reco::SingleTauDiscriminatorContainer>,reco::SingleTauDiscriminatorContainer,reco::PFTauDiscriminator>::produce;44.66
PFPileUp::produce;35.26
other;26.81
pat::PATMETProducer::produce;24.81
PrimaryVertexSorter<std::vector<reco::PFCandidate,std::allocator<reco::PFCandidate>>>::produce;20.05
HGCalElectronIDValueMapProducer::produce;16.84
citk::PFIsolationSumProducerForPUPPI::produce;16.40
HGCalIsoCalculator::produceHGCalIso;15.81
PFCand_AssoMap::produce;15.05
HGCalPhotonIDValueMapProducer::produce;14.43
InputModule;14.30
pat::PATIsolatedTrackProducer::produce;13.72
pat::PATMuonProducer::produce;11.64
RecoTauProducer::produce;7.74
HGCalRecHitMapProducer::produce;7.16
IPProducer<std::vector<edm::Ptr<reco::Candidate>,std::allocator<edm::Ptr<reco::Candidate>>>,reco::JetTagInfo,IPProducerHelpers::FromJetAndCands>::produce;6.08
BoostedJetONNXJetTagsProducer::produce;5.47
PoolOutputModule;5.01
edm::EventPrincipal::clearEventPrincipal;4.56
VirtualJetProducer::produce;4.23
PFRecoTauChargedHadronProducer::produce;4.12
edm::EventProcessor::beginRun;4.12
PileupJetIdProducer::produce;4.06
pat::PATPackedCandidateProducer::produce;3.24
TopProjector<reco::PFCandidate,reco::PFCandidate,TopProjectorFwdPtrOverlap<reco::PFCandidate,reco::PFCandidate>>::produce;3.23
edm::EventProcessor::init;3.11
CandIsoDepositProducer::produce;2.54
ShiftedParticleProducer::produce;2.51
edmplugin::SharedLibrary::SharedLibrary;2.49
DeepMETProducer::produce;2.09
RecoTauGenericJetRegionProducer<reco::PFJet,reco::PFCandidate>::produce;2.01
deep_tau::DeepTauBase::produce;1.17
JetFlavourClustering::produce;1.12
CandPtrProjector::produce;1.10
PFTauPrimaryVertexProducerBase::produce;1.03
PFRecoTauTagInfoProducer::produce;0.98
DeepFlavourONNXJetTagsProducer::produce;0.73
BoostedTauSeedsProducer::produce;0.42
QGTagger::produce;0.36
DeepBoostedJetTagInfoProducer::produce;0.27
RecoTauCleanerImpl<std::vector<reco::PFTau,std::allocator<reco::PFTau>>>::produce;0.27
pat::PATLostTracks::produce;0.24
CandIsolatorFromDeposits::produce;0.21
ElectronMVAEstimatorRun2::ElectronMVAEstimatorRun2;0.20
ShiftedParticleMETcorrInputProducer::produce;0.18
MultShiftMETcorrInputProducer::produce;0.17
reco::PhysObjectMatcher<edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>,reco::MCMatchSelector<reco::Candidate,reco::GenParticle>,reco::MatchByDRDPt<reco::Candidate,reco::GenParticle>,reco::helper::LessByMatchDistance<DeltaR<reco::Candidate,reco::GenParticle>,edm::View<reco::Candidate>,std::vector<reco::GenParticle,std::allocator<reco::GenParticle>>>>::produce;0.15
pat::PATTauProducer::produce;0.13
TauDiscriminationProducerBase<reco::PFTau,reco::PFTauDiscriminator,double,reco::PFTauDiscriminator>::produce;0.12
JetTagProducer::produce;0.11
LowPtGSFToPackedCandidateLinker::produce;0.11
pat::PATElectronProducer::produce;0.11
jet_tag_computer_esproducer_impl::JetTagComputerESProducer<CharmTagger,false>::produce;0.10
JetTracksAssociationDRVertex::produce;0.10
GenParticlePruner::produce;0.08
RecoTauPiZeroProducer::produce;0.06
PFJetMETcorrInputProducerT<reco::PFJet,JetCorrExtractorT<reco::PFJet>>::produce;0.05
HGCalElectronFilter::produce;0.05
PuppiProducer::produce;0.05
edm::FwdPtrProducer<reco::PFCandidate,reco::PFCandidateFwdPtrFactory>::produce;0.05
