,release_date,reco_time,total_time,output_time,label
3,2020-07-09 15:23:59,85.626489,110.5917,24.965211,11_2_0_pre2
4,2020-07-28 22:17:00,75.45562,99.748809,24.293188999999998,11_2_0_pre3
5,2020-08-21 20:54:52,75.325519,100.139422,24.813903,11_2_0_pre4
6,2020-08-24 22:26:27,75.23190400000001,99.990791,24.75888699999999,11_2_0_pre5
7,2020-09-10 08:48:45,72.19516099999998,96.9536,24.758439000000006,11_2_0_pre6
8,2020-10-01 02:14:22,74.58894700000002,107.583082,32.99413499999999,11_2_0_pre7
9,2020-10-22 20:15:24,72.84783600000002,104.665788,31.81795199999999,11_2_0_pre8
10,2020-11-12 08:50:30,68.60121199999999,87.404823,18.803611,11_2_0_pre9
1,2020-11-25 20:28:57,66.295468,85.771305,19.47583699999999,11_2_0_pre10
2,2020-12-01 17:47:41,67.50743899999999,87.041198,19.533759000000003,11_2_0_pre11
13,2020-12-15 21:05:34,68.329354,87.848659,19.519305,11_3_0_pre1
0,2020-12-16 21:35:08,67.90899100000001,87.479269,19.57027799999999,11_2_0
14,2021-01-19 20:41:13,66.17098100000001,84.998874,18.82789299999999,11_3_0_pre2
11,2021-01-29 14:24:10,69.295845,88.769948,19.474103,11_2_1
15,2021-02-11 22:54:28,68.233396,87.273623,19.040227,11_3_0_pre3
16,2021-03-04 21:56:08,68.682969,87.605919,18.922950000000004,11_3_0_pre4
17,2021-03-22 10:06:25,69.879784,89.226375,19.346591,11_3_0_pre5
18,2021-04-13 19:32:46,67.70916700000001,86.981965,19.272797999999998,11_3_0_pre6
19,2021-05-06 06:59:33,65.05401599999999,81.274667,16.220650999999997,12_0_0_pre1
12,2021-05-06 15:12:14,66.965484,85.942511,18.977027,11_3_0
20,2021-05-26 13:52:17,66.94977860000002,76.009567,9.059788399999993,12_0_0_pre2
21,2021-06-17 15:47:26,64.25637090000001,73.179229,8.922858099999997,12_0_0_pre3
22,2021-07-08 17:40:46,63.733208200000014,71.083554,7.350345799999993,12_0_0_pre4
23,2021-07-28 15:20:28,67.77849570000001,75.328405,7.5499092999999995,12_0_0_pre5
